Timestamp,SourceIP,SourcePort,DestinationIP,DestinationPort,Protocol,Action,BytesSent,BytesReceived,Direction
2026-07-14 08:04:26,10.10.12.47,59897,93.184.231.159,443,TCP,Allow,9055,356208,Outbound
2026-07-14 08:15:50,10.10.16.9,54962,93.184.32.80,443,TCP,Allow,28114,346296,Outbound
2026-07-14 08:40:12,10.10.12.47,52428,93.184.27.73,443,TCP,Allow,27765,239150,Outbound
2026-07-14 09:04:04,10.10.16.9,59841,93.184.170.35,443,TCP,Allow,49304,145142,Outbound
2026-07-14 09:16:40,10.10.12.47,49855,203.0.113.55,443,TCP,Allow,4200,812004,Outbound
2026-07-14 09:54:41,10.10.16.9,55724,93.184.246.72,443,TCP,Allow,70427,296736,Outbound
2026-07-14 10:02:54,10.10.14.22,57462,93.184.149.97,443,TCP,Allow,27631,337278,Outbound
2026-07-14 10:30:13,10.10.12.47,49582,10.10.14.22,445,TCP,Allow,12400,4100,Internal
2026-07-14 10:32:49,10.10.14.22,58882,93.184.172.165,443,TCP,Allow,7665,338123,Outbound
2026-07-14 10:45:21,10.10.12.47,49782,10.10.16.9,445,TCP,Allow,12400,4100,Internal
2026-07-14 10:45:44,10.10.16.9,51872,93.184.39.12,443,TCP,Allow,88597,3188,Outbound
2026-07-14 10:55:36,10.10.12.47,49705,10.10.5.10,445,TCP,Allow,12400,4100,Internal
2026-07-14 11:07:36,10.10.12.47,49904,10.10.5.1,445,TCP,Allow,12400,4100,Internal
2026-07-14 11:22:34,10.10.14.22,54580,93.184.238.71,443,TCP,Allow,78017,55982,Outbound
2026-07-14 11:35:02,10.10.12.47,58299,93.184.186.166,443,TCP,Allow,42278,446821,Outbound
2026-07-14 11:39:11,10.10.12.47,57868,93.184.135.136,443,TCP,Allow,26246,408491,Outbound
2026-07-14 11:51:48,10.10.20.5,59438,93.184.238.107,443,TCP,Allow,22852,378390,Outbound
2026-07-14 12:09:44,10.10.16.9,49315,93.184.217.218,443,TCP,Allow,56306,158966,Outbound
2026-07-14 12:30:16,10.10.16.9,51678,93.184.188.28,443,TCP,Allow,28842,460771,Outbound
2026-07-14 12:44:00,10.10.5.10,49332,203.0.113.77,443,TCP,Allow,1800000000,12000,Outbound
2026-07-14 12:45:13,10.10.20.5,52337,93.184.35.124,443,TCP,Allow,53363,323478,Outbound
2026-07-14 12:45:33,10.10.5.10,53303,93.184.28.26,443,TCP,Allow,83577,99356,Outbound
2026-07-14 12:51:12,10.10.12.47,58174,93.184.18.164,443,TCP,Allow,70870,326362,Outbound
2026-07-14 12:51:30,10.10.5.10,49448,203.0.113.77,443,TCP,Blocked,210000000,0,Outbound
2026-07-14 13:00:50,10.10.12.47,59207,93.184.86.111,443,TCP,Allow,76987,416411,Outbound
2026-07-14 13:18:03,10.10.14.22,57237,93.184.94.212,443,TCP,Allow,44696,14957,Outbound
2026-07-14 13:37:37,10.10.14.22,54616,93.184.234.179,443,TCP,Allow,30322,56259,Outbound
2026-07-14 14:01:00,10.10.16.9,53206,93.184.16.139,443,TCP,Allow,74117,491343,Outbound
2026-07-14 14:04:13,10.10.20.5,54974,93.184.169.174,443,TCP,Allow,86376,317076,Outbound
2026-07-14 14:11:04,10.10.5.10,53485,93.184.85.34,443,TCP,Allow,34984,339238,Outbound
2026-07-14 14:33:42,10.10.5.10,49544,93.184.113.19,443,TCP,Allow,78606,101404,Outbound
2026-07-14 14:35:16,10.10.20.5,51816,93.184.57.183,443,TCP,Allow,45745,208019,Outbound
2026-07-14 14:36:28,10.10.5.10,58899,93.184.33.101,443,TCP,Allow,51619,393195,Outbound
2026-07-14 15:07:42,10.10.14.22,53181,93.184.78.14,443,TCP,Allow,66440,416611,Outbound
2026-07-14 15:39:44,10.10.20.5,59508,93.184.83.11,443,TCP,Allow,5963,285097,Outbound
2026-07-14 15:56:31,10.10.5.10,59741,93.184.204.146,443,TCP,Allow,47036,90731,Outbound
2026-07-14 15:59:29,10.10.14.22,49541,93.184.45.203,443,TCP,Allow,27271,87104,Outbound
2026-07-14 16:01:44,10.10.14.22,50214,93.184.103.177,443,TCP,Allow,71287,210825,Outbound
2026-07-14 16:24:47,10.10.5.10,54285,93.184.54.204,443,TCP,Allow,70808,258648,Outbound
2026-07-14 16:31:18,10.10.14.22,49459,93.184.39.38,443,TCP,Allow,63067,44117,Outbound
