Timestamp,Hostname,Account,FilePath,Action,OriginalExtension,NewExtension,ProcessName,FileSizeBytes
2026-07-14 08:06:03,WKS-IT-02,j.alvarez,C:\Users\j.alvarez\Documents\presentation_v2.pptx,Modified,pptx,,WINWORD.EXE,265793
2026-07-14 08:40:18,WKS-ENG-12,t.oconnor,C:\Users\t.oconnor\Documents\presentation_v2.pptx,Modified,pptx,,WINWORD.EXE,253351
2026-07-14 08:47:03,WKS-IT-02,j.alvarez,C:\Users\j.alvarez\Documents\presentation_v2.pptx,Modified,pptx,,WINWORD.EXE,68055
2026-07-14 08:49:14,WKS-HR-03,k.wright,C:\Users\k.wright\Documents\presentation_v2.pptx,Modified,pptx,,WINWORD.EXE,668112
2026-07-14 08:53:15,SRV-FILE-01,svc_backup,C:\Users\svc_backup\Documents\timesheet.xlsx,Modified,xlsx,,WINWORD.EXE,687511
2026-07-14 09:14:00,WKS-HR-03,r.patel,C:\Users\r.patel\Documents\presentation_v2.pptx,Modified,pptx,,WINWORD.EXE,212495
2026-07-14 09:14:40,WKS-FIN-07,s.jenkins,C:\Users\s.jenkins\Downloads\Invoice_84421.docm,Created,docm,,OUTLOOK.EXE,88412
2026-07-14 09:17:05,WKS-FIN-07,s.jenkins,C:\Users\s.jenkins\AppData\Local\Temp\svchost_upd.exe,Created,exe,,powershell.exe,412336
2026-07-14 09:45:20,WKS-FIN-07,s.jenkins,C:\Users\s.jenkins\AppData\Local\Temp\lsass_dump.tmp,Created,tmp,,svchost_upd.exe,61204112
2026-07-14 10:02:34,WKS-ENG-12,m.chen,C:\Users\m.chen\Documents\presentation_v2.pptx,Modified,pptx,,WINWORD.EXE,434743
2026-07-14 10:14:44,WKS-IT-02,j.alvarez,C:\Users\j.alvarez\Documents\Q3_budget_draft.xlsx,Modified,xlsx,,WINWORD.EXE,762797
2026-07-14 10:32:24,WKS-FIN-07,s.jenkins,C:\Users\s.jenkins\Documents\vendor_list.csv,Modified,csv,,WINWORD.EXE,721396
2026-07-14 10:39:52,WKS-ENG-12,m.chen,C:\Users\m.chen\Documents\vendor_list.csv,Modified,csv,,WINWORD.EXE,279175
2026-07-14 12:28:11,WKS-ENG-12,t.oconnor,C:\Users\t.oconnor\Documents\Q3_budget_draft.xlsx,Modified,xlsx,,WINWORD.EXE,21672
2026-07-14 12:32:00,SRV-FILE-01,j.alvarez,\\SRV-FILE-01\Shared\Finance\*,Read,,,7z.exe,793282221
2026-07-14 12:32:20,SRV-FILE-01,j.alvarez,\\SRV-FILE-01\Shared\Engineering_Specs\*,Read,,,7z.exe,766096350
2026-07-14 12:32:40,SRV-FILE-01,j.alvarez,\\SRV-FILE-01\Shared\HR_Records\*,Read,,,7z.exe,647434672
2026-07-14 12:33:00,SRV-FILE-01,j.alvarez,\\SRV-FILE-01\Shared\Contracts\*,Read,,,7z.exe,666852128
2026-07-14 12:37:29,WKS-HR-03,k.wright,C:\Users\k.wright\Documents\vendor_list.csv,Modified,csv,,WINWORD.EXE,479769
2026-07-14 12:38:45,WKS-ENG-12,m.chen,C:\Users\m.chen\Documents\vendor_list.csv,Modified,csv,,WINWORD.EXE,380135
2026-07-14 12:39:25,WKS-ENG-12,m.chen,C:\Users\m.chen\Documents\vendor_list.csv,Modified,csv,,WINWORD.EXE,769069
2026-07-14 12:40:10,SRV-FILE-01,j.alvarez,C:\Windows\Temp\archive_backup.7z,Created,7z,,7z.exe,3412004221
2026-07-14 12:48:38,WKS-ENG-12,t.oconnor,C:\Users\t.oconnor\Documents\presentation_v2.pptx,Modified,pptx,,WINWORD.EXE,377108
2026-07-14 14:14:00,WKS-ENG-12,j.alvarez,C:\Users\Shared\Q3_budget_draft.xlsx,Renamed,xlsx,shadowvault,encryptor.exe,227760
2026-07-14 14:14:07,WKS-ENG-12,j.alvarez,C:\Users\Shared\vendor_list.csv,Renamed,csv,shadowvault,encryptor.exe,708168
2026-07-14 14:14:14,WKS-ENG-12,j.alvarez,C:\Users\Shared\engineering_specs.dwg,Renamed,dwg,shadowvault,encryptor.exe,514925
2026-07-14 14:14:21,WKS-ENG-12,j.alvarez,C:\Users\Shared\hr_records.xlsx,Renamed,xlsx,shadowvault,encryptor.exe,279461
2026-07-14 14:14:45,WKS-ENG-12,j.alvarez,C:\Users\Shared\!!!RECOVER_YOUR_FILES!!!.txt,Created,,txt,encryptor.exe,1204
2026-07-14 14:16:00,WKS-HR-03,j.alvarez,C:\Users\Shared\Q3_budget_draft.xlsx,Renamed,xlsx,shadowvault,encryptor.exe,162764
2026-07-14 14:16:07,WKS-HR-03,j.alvarez,C:\Users\Shared\vendor_list.csv,Renamed,csv,shadowvault,encryptor.exe,570315
2026-07-14 14:16:14,WKS-HR-03,j.alvarez,C:\Users\Shared\engineering_specs.dwg,Renamed,dwg,shadowvault,encryptor.exe,376833
2026-07-14 14:16:21,WKS-HR-03,j.alvarez,C:\Users\Shared\hr_records.xlsx,Renamed,xlsx,shadowvault,encryptor.exe,121802
2026-07-14 14:16:45,WKS-HR-03,j.alvarez,C:\Users\Shared\!!!RECOVER_YOUR_FILES!!!.txt,Created,,txt,encryptor.exe,1204
2026-07-14 14:26:00,SRV-FILE-01,j.alvarez,C:\Users\Shared\Q3_budget_draft.xlsx,Renamed,xlsx,shadowvault,encryptor.exe,85205
2026-07-14 14:26:07,SRV-FILE-01,j.alvarez,C:\Users\Shared\vendor_list.csv,Renamed,csv,shadowvault,encryptor.exe,636877
2026-07-14 14:26:14,SRV-FILE-01,j.alvarez,C:\Users\Shared\engineering_specs.dwg,Renamed,dwg,shadowvault,encryptor.exe,166798
2026-07-14 14:26:21,SRV-FILE-01,j.alvarez,C:\Users\Shared\hr_records.xlsx,Renamed,xlsx,shadowvault,encryptor.exe,274435
2026-07-14 14:26:45,SRV-FILE-01,j.alvarez,C:\Users\Shared\!!!RECOVER_YOUR_FILES!!!.txt,Created,,txt,encryptor.exe,1204
2026-07-14 14:27:25,WKS-HR-03,r.patel,C:\Users\r.patel\Documents\meeting_notes.docx,Modified,docx,,WINWORD.EXE,488955
2026-07-14 14:30:00,WKS-FIN-07,j.alvarez,C:\Users\Shared\Q3_budget_draft.xlsx,Renamed,xlsx,shadowvault,encryptor.exe,638682
2026-07-14 14:30:07,WKS-FIN-07,j.alvarez,C:\Users\Shared\vendor_list.csv,Renamed,csv,shadowvault,encryptor.exe,307615
2026-07-14 14:30:14,WKS-FIN-07,j.alvarez,C:\Users\Shared\engineering_specs.dwg,Renamed,dwg,shadowvault,encryptor.exe,288432
2026-07-14 14:30:21,WKS-FIN-07,j.alvarez,C:\Users\Shared\hr_records.xlsx,Renamed,xlsx,shadowvault,encryptor.exe,436702
2026-07-14 14:30:45,WKS-FIN-07,j.alvarez,C:\Users\Shared\!!!RECOVER_YOUR_FILES!!!.txt,Created,,txt,encryptor.exe,1204
2026-07-14 14:35:01,WKS-FIN-07,s.jenkins,C:\Users\s.jenkins\Documents\vendor_list.csv,Modified,csv,,WINWORD.EXE,117784
2026-07-14 14:39:32,WKS-IT-02,j.alvarez,C:\Users\j.alvarez\Documents\timesheet.xlsx,Modified,xlsx,,WINWORD.EXE,824480
2026-07-14 15:25:38,SRV-FILE-01,svc_backup,C:\Users\svc_backup\Documents\presentation_v2.pptx,Modified,pptx,,WINWORD.EXE,628225
2026-07-14 16:30:25,WKS-ENG-12,t.oconnor,C:\Users\t.oconnor\Documents\Q3_budget_draft.xlsx,Modified,xlsx,,WINWORD.EXE,386868
2026-07-14 16:39:01,WKS-IT-02,j.alvarez,C:\Users\j.alvarez\Documents\presentation_v2.pptx,Modified,pptx,,WINWORD.EXE,748925
2026-07-14 16:40:16,WKS-ENG-12,t.oconnor,C:\Users\t.oconnor\Documents\vendor_list.csv,Modified,csv,,WINWORD.EXE,479658
2026-07-14 16:43:01,SRV-FILE-01,svc_backup,C:\Users\svc_backup\Documents\vendor_list.csv,Modified,csv,,WINWORD.EXE,724948
